USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
root,64,0.0,0.0,0,0,?,S,2014,0:00,[kblockd/6]
root,65,0.0,0.0,0,0,?,S,2014,0:00,[kblockd/7]
root,66,0.0,0.0,0,0,?,S,2014,0:00,[kacpid]
root,67,0.0,0.0,0,0,?,S,2014,0:00,[kacpi_notify]
root,68,0.0,0.0,0,0,?,S,2014,0:00,[kacpi_hotplug]
root,69,0.0,0.0,0,0,?,S,2014,0:00,[ata_aux]
root,70,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/0]
root,71,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/1]
root,72,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/2]
root,73,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/3]
root,74,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/4]
root,75,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/5]
root,76,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/6]
root,77,0.0,0.0,0,0,?,S,2014,0:00,[ata_sff/7]
root,78,0.0,0.0,0,0,?,S,2014,0:00,[ksuspend_usbd]
root,79,0.0,0.0,0,0,?,S,2014,0:00,[khubd]
root,80,0.0,0.0,0,0,?,S,2014,0:00,[kseriod]
root,81,0.0,0.0,0,0,?,S,2014,0:00,[md/0]
root,82,0.0,0.0,0,0,?,S,2014,0:00,[md/1]
root,83,0.0,0.0,0,0,?,S,2014,0:00,[md/2]
root,84,0.0,0.0,0,0,?,S,2014,0:00,[md/3]
root,85,0.0,0.0,0,0,?,S,2014,0:00,[md/4]
root,86,0.0,0.0,0,0,?,S,2014,0:00,[md/5]
root,87,0.0,0.0,0,0,?,S,2014,0:00,[md/6]
root,88,0.0,0.0,0,0,?,S,2014,0:00,[md/7]
root,89,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/0]
root,90,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/1]
root,91,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/2]
root,92,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/3]
root,93,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/4]
root,94,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/5]
root,95,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/6]
root,96,0.0,0.0,0,0,?,S,2014,0:00,[md_misc/7]
root,97,0.0,0.0,0,0,?,S,2014,0:00,[linkwatch]
root,99,0.0,0.0,0,0,?,S,2014,0:01,[khungtaskd]
root,100,0.0,0.0,0,0,?,S,2014,0:09,[kswapd0]
root,101,0.0,0.0,0,0,?,SN,2014,0:00,[ksmd]
root,102,0.0,0.0,0,0,?,SN,2014,0:16,[khugepaged]
root,103,0.0,0.0,0,0,?,S,2014,0:00,[aio/0]
root,104,0.0,0.0,0,0,?,S,2014,0:00,[aio/1]
root,105,0.0,0.0,0,0,?,S,2014,0:00,[aio/2]
root,106,0.0,0.0,0,0,?,S,2014,0:00,[aio/3]
root,107,0.0,0.0,0,0,?,S,2014,0:00,[aio/4]
root,108,0.0,0.0,0,0,?,S,2014,0:00,[aio/5]
root,109,0.0,0.0,0,0,?,S,2014,0:00,[aio/6]
root,110,0.0,0.0,0,0,?,S,2014,0:00,[aio/7]
root,111,0.0,0.0,0,0,?,S,2014,0:00,[crypto/0]
root,112,0.0,0.0,0,0,?,S,2014,0:00,[crypto/1]
root,113,0.0,0.0,0,0,?,S,2014,0:00,[crypto/2]
root,114,0.0,0.0,0,0,?,S,2014,0:00,[crypto/3]
root,115,0.0,0.0,0,0,?,S,2014,0:00,[crypto/4]
root,116,0.0,0.0,0,0,?,S,2014,0:00,[crypto/5]
root,117,0.0,0.0,0,0,?,S,2014,0:00,[crypto/6]
root,118,0.0,0.0,0,0,?,S,2014,0:00,[crypto/7]
root,126,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/0]
root,127,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/1]
root,128,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/2]
root,129,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/3]
root,130,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/4]
root,131,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/5]
root,132,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/6]
root,133,0.0,0.0,0,0,?,S,2014,0:00,[kthrotld/7]
root,135,0.0,0.0,0,0,?,S,2014,0:00,[kpsmoused]
root,136,0.0,0.0,0,0,?,S,2014,0:00,[usbhid_resumer]
root,137,0.0,0.0,0,0,?,S,2014,0:00,[deferwq]
root,169,0.0,0.0,0,0,?,S,2014,0:00,[kdmremove]
root,170,0.0,0.0,0,0,?,S,2014,0:00,[kstriped]
root,204,0.0,0.0,0,0,?,S,2014,0:00,[ttm_swap]
root,363,0.0,0.0,0,0,?,S,2014,0:00,[scsi_eh_0]
root,364,0.0,0.0,0,0,?,S,2014,0:00,[scsi_eh_1]
root,365,0.0,0.0,0,0,?,S,2014,0:00,[scsi_eh_2]
root,366,0.0,0.0,0,0,?,S,2014,0:00,[scsi_eh_3]
root,367,0.0,0.0,0,0,?,S,2014,0:00,[scsi_eh_4]
root,368,0.0,0.0,0,0,?,S,2014,0:00,[scsi_eh_5]
root,473,0.0,0.0,0,0,?,S,2014,0:04,[kdmflush]
root,475,0.0,0.0,0,0,?,S,2014,0:00,[kdmflush]
root,493,0.0,0.0,0,0,?,S,2014,0:29,[flush-253:0]
root,494,0.0,0.0,0,0,?,S,2014,0:21,[jbd2/dm-0-8]
root,495,0.0,0.0,0,0,?,S,2014,0:00,[ext4-dio-unwrit]
root,594,0.0,0.0,11308,1512,?,S<s,2014,0:00,/sbin/udevd,-d
root,705,0.0,0.0,0,0,?,S,2014,0:00,[hd-audio0]
root,708,0.0,0.0,0,0,?,S,2014,0:00,[hd-audio1]
root,1530,0.0,0.0,0,0,?,S,2014,0:00,[kdmflush]
root,1594,0.0,0.0,0,0,?,S,2014,0:00,[jbd2/sda1-8]
root,1595,0.0,0.0,0,0,?,S,2014,0:00,[ext4-dio-unwrit]
root,1596,0.0,0.0,0,0,?,S,2014,0:11,[jbd2/dm-2-8]
root,1597,0.0,0.0,0,0,?,S,2014,0:00,[ext4-dio-unwrit]
root,1705,0.0,0.0,0,0,?,S,2014,0:00,[kauditd]
root,1971,0.0,0.0,255624,2808,?,Sl,2014,0:04,/sbin/rsyslogd,-i,/var/run/syslogd.pid,-c,5
root,1996,0.0,0.0,0,0,?,S,2014,7:34,[kondemand/0]
root,1997,0.0,0.0,0,0,?,S,2014,1:33,[kondemand/1]
root,1998,0.0,0.0,0,0,?,S,2014,1:20,[kondemand/2]
root,1999,0.0,0.0,0,0,?,S,2014,1:25,[kondemand/3]
root,2000,0.0,0.0,0,0,?,S,2014,1:32,[kondemand/4]
root,2001,0.0,0.0,0,0,?,S,2014,1:31,[kondemand/5]
root,2002,0.0,0.0,0,0,?,S,2014,1:22,[kondemand/6]
root,2003,0.0,0.0,0,0,?,S,2014,1:24,[kondemand/7]
root,2025,0.0,0.0,10844,552,?,Ss,2014,14:57,irqbalance,--pid=/var/run/irqbalance.pid
rpc,2041,0.0,0.0,18976,620,?,Ss,2014,0:03,rpcbind
root,5481,0.0,0.0,108336,508,?,Ss,Jan20,0:01,/usr/bin/rhsmcertd
root,5820,0.0,0.0,394676,1304,?,Ssl,Jan06,0:57,automount,--pid-file,/var/run/autofs.pid
dbus,9376,0.0,0.0,100948,2444,?,Ssl,2014,0:24,dbus-daemon,--system
root,9388,0.0,0.0,98276,7896,?,Ssl,2014,0:10,NetworkManager,--pid-file=/var/run/NetworkManager/NetworkManager.pid
root,9392,0.0,0.0,58136,1516,?,S,2014,0:00,/usr/sbin/modem-manager
rpcuser,9409,0.0,0.0,23348,920,?,Ss,2014,0:00,rpc.statd
nslcd,9422,0.0,0.0,443888,1676,?,Ssl,2014,0:12,/usr/sbin/nslcd
root,9435,0.0,0.0,9120,1096,?,S,2014,0:00,/sbin/dhclient,-d,-4,-sf,/usr/libexec/nm-dhcp-client.action,-pf,/var/run/dhclient-em1.pid,-lf,/var/lib/dhclient/dhclient-9e6d70e2-0a9b-46ec-ad40-fe44aa616e8b-em1.lease,-cf,/var/run/nm-dhclient-em1.conf,em1
root,9461,0.0,0.0,189568,1888,?,Ss,2014,0:00,cupsd,-C,/etc/cups/cupsd.conf
root,9490,0.0,0.0,4080,484,?,Ss,2014,0:00,/usr/sbin/acpid
68,9500,0.0,0.0,41276,3704,?,Ssl,2014,0:20,hald
root,9501,0.0,0.0,20400,832,?,S,2014,0:00,hald-runner
root,9539,0.0,0.0,44988,576,?,Ss,2014,0:00,/usr/sbin/wpa_supplicant,-c,/etc/wpa_supplicant/wpa_supplicant.conf,-B,-u,-f,/var/log/wpa_supplicant.log,-P,/var/run/wpa_supplicant.pid
root,9581,0.0,0.0,22520,744,?,S,2014,0:02,hald-addon-input:,Listening,on,/dev/input/event5,/dev/input/event4,/dev/input/event0,/dev/input/event1
68,9584,0.0,0.0,18008,704,?,S,2014,0:00,hald-addon-acpi:,listening,on,acpid,socket,/var/run/acpid.socket
ntp,9643,0.0,0.0,32824,1512,?,Ss,2014,0:06,ntpd,-u,ntp:ntp,-p,/var/run/ntpd.pid,-g
root,9736,0.0,0.0,12624,2808,?,S<,Jan28,0:00,/sbin/udevd,-d
root,9752,0.0,0.0,81328,1572,?,Ss,2014,0:13,/usr/libexec/postfix/master
postfix,9762,0.0,0.0,83672,1952,?,S,2014,0:02,qmgr,-l,-t,fifo,-u
root,9778,0.0,0.0,112524,568,?,Ss,2014,0:01,abrt-dump-oops,-d,/var/spool/abrt,-rwx,/var/log/messages
root,9789,0.0,0.0,117332,1116,?,Ss,2014,0:18,crond
root,9803,0.0,0.0,21576,412,?,Ss,2014,0:00,/usr/sbin/atd
root,9814,0.0,0.0,100928,520,?,Ss,2014,0:03,rhnsd
root,9833,0.0,0.0,23036,392,?,Ss,2014,0:00,/usr/sbin/oddjobd,-p,/var/run/oddjobd.pid,-t,300
root,9849,0.0,0.0,64704,1004,?,Ss,2014,0:00,/usr/sbin/certmonger,-S,-p,/var/run/certmonger.pid
root,9861,0.0,0.0,134016,1592,?,Ssl,2014,0:01,/usr/sbin/gdm-binary,-nodaemon
root,9872,0.0,0.0,4064,320,tty2,Ss+,2014,0:00,/sbin/mingetty,/dev/tty2
root,9875,0.0,0.0,4064,320,tty3,Ss+,2014,0:00,/sbin/mingetty,/dev/tty3
root,9877,0.0,0.0,4064,316,tty4,Ss+,2014,0:00,/sbin/mingetty,/dev/tty4
root,9879,0.0,0.0,4064,320,tty5,Ss+,2014,0:00,/sbin/mingetty,/dev/tty5
