Year MO DY HR MN BOUH
2013 04 02 03 19 20816.29
2013 04 02 03 20 20816.23
2013 04 02 03 21 20816.10
2013 04 02 03 22 20815.95
2013 04 02 03 23 20815.85
2013 04 02 03 24 20815.56
2013 04 02 03 25 20815.35
2013 04 02 03 26 20815.17
2013 04 02 03 27 20815.18
2013 04 02 03 28 20815.18
2013 04 02 03 29 20815.21
2013 04 02 03 30 20815.31
2013 04 02 03 31 20815.31
2013 04 02 03 32 20815.51
2013 04 02 03 33 20815.53
2013 04 02 03 34 20815.36
2013 04 02 03 35 20815.11
2013 04 02 03 36 20814.94
2013 04 02 03 37 20814.76
2013 04 02 03 38 20814.30
2013 04 02 03 39 20813.98
2013 04 02 03 40 20813.86
2013 04 02 03 41 20813.90
2013 04 02 03 42 20813.88
2013 04 02 03 43 20813.79
2013 04 02 03 44 20813.74
2013 04 02 03 45 20813.61
2013 04 02 03 46 20813.40
2013 04 02 03 47 20813.19
2013 04 02 03 48 20813.14
2013 04 02 03 49 20813.22
2013 04 02 03 50 20813.31
2013 04 02 03 51 20813.28
2013 04 02 03 52 20813.35
2013 04 02 03 53 20813.48
2013 04 02 03 54 20813.48
2013 04 02 03 55 20813.54
2013 04 02 03 56 20813.70
2013 04 02 03 57 20813.72
2013 04 02 03 58 20813.56
2013 04 02 03 59 20813.49
2013 04 02 04 00 20813.49
2013 04 02 04 01 20813.37
2013 04 02 04 02 20813.25
2013 04 02 04 03 20813.06
2013 04 02 04 04 20812.86
2013 04 02 04 05 20812.77
2013 04 02 04 06 20812.76
2013 04 02 04 07 20812.83
2013 04 02 04 08 20812.78
2013 04 02 04 09 20812.76
2013 04 02 04 10 20812.86
2013 04 02 04 11 20812.83
2013 04 02 04 12 20812.87
2013 04 02 04 13 20812.92
2013 04 02 04 14 20813.01
2013 04 02 04 15 20813.14
2013 04 02 04 16 20813.38
2013 04 02 04 17 20813.54
2013 04 02 04 18 20813.65
2013 04 02 04 19 20813.59
2013 04 02 04 20 20813.53
2013 04 02 04 21 20813.63
2013 04 02 04 22 20813.61
2013 04 02 04 23 20813.55
